Date,Gold,Silver,Oil
1968-01-01,,,3.07
1968-01-02,35.18,2.173,
1968-01-03,35.16,2.225,
1968-01-04,35.14,2.171,
1968-01-05,35.14,2.157,
1968-01-08,35.14,2.163,
1968-01-09,35.14,2.109,
1968-01-10,35.15,2.085,
1968-01-11,35.17,2.094,
1968-01-12,35.18,2.127,
1968-01-15,35.18,2.114,
1968-01-16,35.19,2.069,
1968-01-17,35.2,2.067,
1968-01-18,35.2,2.058,
1968-01-19,35.19,2.078,
1968-01-22,35.19,2.088,
1968-01-23,35.19,2.08,
1968-01-24,35.2,2.064,
1968-01-25,35.2,2.018,
1968-01-26,35.2,2.069,
1968-01-29,35.19,2.039,
1968-01-30,35.19,2.019,
1968-01-31,35.2,1.96,
1968-02-01,35.2,1.995,3.07
1968-02-02,35.2,2.02,
1968-02-05,35.19,2.0,
1968-02-06,35.19,1.948,
1968-02-07,35.2,1.965,
1968-02-08,35.19,1.979,
1968-02-09,35.2,1.938,
1968-02-12,35.19,1.929,
1968-02-13,35.19,1.923,
1968-02-14,35.2,1.919,
1968-02-15,35.2,1.939,
1968-02-16,35.2,1.999,
1968-02-19,35.2,1.969,
1968-02-20,35.2,1.98,
1968-02-21,35.2,2.03,
1968-02-22,35.2,2.029,
1968-02-23,35.2,2.017,
1968-02-26,35.2,2.065,
1968-02-27,35.2,2.105,
1968-02-28,35.2,2.105,
1968-02-29,35.2,2.084,
1968-03-01,35.2,2.2,3.07
1968-03-04,35.2,2.19,
1968-03-05,35.2,2.188,
1968-03-06,35.2,2.134,
1968-03-07,35.2,2.189,
1968-03-08,35.2,2.228,
1968-03-11,35.2,2.197,
1968-03-12,35.2,2.222,
1968-03-13,35.2,2.37,
1968-03-14,35.2,2.49,
1968-03-18,,2.119,
1968-03-19,,2.404,
1968-03-20,,2.237,
1968-03-21,,2.303,
1968-03-22,,2.218,
1968-03-25,,2.241,
1968-03-26,,2.243,
1968-03-27,,2.302,
1968-03-28,,2.249,
1968-03-29,,2.278,
1968-04-01,38.0,2.259,3.07
1968-04-02,37.6,2.202,
1968-04-03,37.7,2.195,
1968-04-04,36.7,2.125,
1968-04-05,37.2,2.104,
1968-04-08,37.0,2.134,
1968-04-09,37.25,2.205,
1968-04-10,37.6,2.203,
1968-04-11,38.05,2.161,
1968-04-16,38.1,2.253,
1968-04-17,38.0,2.303,
1968-04-18,37.6,2.232,
1968-04-19,37.65,2.281,
1968-04-22,38.3,2.36,
1968-04-23,38.05,2.36,
1968-04-24,38.35,2.299,
1968-04-25,38.25,2.308,
1968-04-26,38.5,2.327,
1968-04-29,38.55,2.396,
1968-04-30,39.1,2.397,
1968-05-01,39.1,2.357,3.07
1968-05-02,39.25,2.297,
1968-05-03,39.6,2.315,
1968-05-06,39.7,2.335,
1968-05-07,39.3,2.245,
1968-05-08,39.5,2.321,
1968-05-09,39.7,2.319,
1968-05-10,39.8,2.361,
1968-05-13,39.4,2.359,
1968-05-14,39.6,2.379,
1968-05-15,40.1,2.401,
1968-05-16,40.85,2.459,
1968-05-17,41.6,2.505,
1968-05-20,42.0,2.506,
1968-05-21,42.6,2.554,
1968-05-22,42.2,2.467,
1968-05-23,41.5,2.48,
1968-05-24,41.75,2.503,
1968-05-27,41.5,2.515,
1968-05-28,41.6,2.49,
1968-05-29,41.5,2.416,
1968-05-30,41.75,2.477,
1968-05-31,42.0,2.483,
1968-06-01,,,3.07
1968-06-04,41.2,2.426,
1968-06-05,41.4,2.421,
1968-06-06,41.25,2.454,
1968-06-07,41.2,2.478,
1968-06-10,41.35,2.446,
1968-06-11,41.3,2.506,
1968-06-12,42.1,2.576,
1968-06-13,41.4,2.52,
1968-06-14,40.2,2.465,
1968-06-17,40.9,2.432,
1968-06-18,40.7,2.431,
1968-06-19,41.4,2.534,
1968-06-20,41.05,2.468,
1968-06-21,41.05,2.449,
1968-06-24,41.05,2.483,
1968-06-25,40.85,2.512,
1968-06-26,40.95,2.493,
1968-06-27,40.8,2.492,
1968-06-28,40.95,2.502,
1968-07-01,40.9,2.512,3.07
1968-07-02,40.85,2.463,
1968-07-03,40.9,2.489,
1968-07-04,41.05,2.487,
1968-07-05,41.1,2.472,
1968-07-08,40.95,2.436,
1968-07-09,40.6,2.319,
1968-07-10,40.15,2.418,
1968-07-11,39.4,2.369,
1968-07-12,39.1,2.35,
1968-07-15,39.15,2.392,
1968-07-16,38.9,2.351,
1968-07-17,37.8,2.303,
1968-07-18,38.0,2.242,
1968-07-19,39.1,2.331,
1968-07-22,38.65,2.292,
1968-07-23,38.65,2.292,
1968-07-24,39.2,2.328,
1968-07-25,39.1,2.283,
1968-07-26,38.75,2.284,
1968-07-29,38.9,2.276,
1968-07-30,39.1,2.235,
1968-07-31,38.9,2.285,
1968-08-01,38.8,2.225,3.07
1968-08-02,38.8,2.245,
1968-08-05,38.85,2.195,
1968-08-06,38.85,2.185,
1968-08-07,38.8,2.205,
1968-08-08,38.55,2.165,
1968-08-09,38.45,2.154,
1968-08-12,38.6,2.125,
1968-08-13,38.75,2.064,
1968-08-14,38.95,2.193,
1968-08-15,39.0,2.208,
1968-08-16,39.1,2.203,
1968-08-19,39.15,2.178,
1968-08-20,39.35,2.243,
1968-08-21,40.3,2.332,
1968-08-22,39.65,2.24,
1968-08-23,39.65,2.274,
1968-08-26,39.4,2.239,
1968-08-27,39.55,2.239,
1968-08-28,39.55,2.218,
1968-08-29,39.8,2.242,
1968-08-30,39.85,2.239,
1968-09-01,,,3.07
1968-09-03,39.98,2.24,
1968-09-04,39.9,2.255,
1968-09-05,39.95,2.274,
1968-09-06,40.0,2.264,
1968-09-09,40.0,2.243,
1968-09-10,40.0,2.168,
1968-09-11,40.0,2.248,
1968-09-12,40.05,2.198,
1968-09-13,40.17,2.227,
1968-09-16,40.2,2.207,
1968-09-17,40.55,2.228,
1968-09-18,40.45,2.245,
1968-09-19,40.52,2.23,
1968-09-20,40.5,2.24,
1968-09-23,40.42,2.231,
1968-09-24,40.48,2.22,
1968-09-25,40.42,2.221,
1968-09-26,40.45,2.19,
1968-09-27,40.3,2.2,
1968-09-30,39.7,2.171,
1968-10-01,39.6,2.14,3.07
1968-10-02,38.3,2.091,
1968-10-03,39.0,2.101,
1968-10-04,38.9,2.085,
1968-10-07,39.8,2.101,
1968-10-08,39.75,2.086,
1968-10-09,39.2,2.051,
1968-10-10,38.83,2.011,
1968-10-11,39.2,2.05,
1968-10-14,39.3,2.03,
1968-10-15,39.2,1.991,
1968-10-16,38.95,1.921,
1968-10-17,39.2,1.842,
1968-10-18,39.4,1.872,
1968-10-21,39.1,1.972,
1968-10-22,38.95,1.877,
1968-10-23,39.17,1.923,
1968-10-24,39.2,1.898,
1968-10-25,39.3,1.913,
1968-10-28,39.38,1.913,
1968-10-29,39.6,1.972,
1968-10-30,39.3,1.958,
1968-10-31,39.2,1.933,
1968-11-01,38.9,1.903,3.07
1968-11-04,39.25,1.963,
1968-11-05,39.33,1.981,
1968-11-06,39.5,1.992,
1968-11-07,39.52,1.957,
1968-11-08,39.4,1.967,
1968-11-11,39.5,2.002,
1968-11-12,39.73,2.011,
1968-11-13,39.75,2.061,
1968-11-14,39.75,2.069,
1968-11-15,40.0,2.086,
1968-11-18,40.0,2.103,
1968-11-19,40.05,2.085,
1968-11-20,40.75,,
1968-11-21,40.25,,
1968-11-22,40.2,,
1968-11-25,40.3,2.105,
1968-11-26,40.08,1.988,
1968-11-27,39.75,1.92,
1968-11-28,39.85,1.978,
1968-11-29,39.85,1.968,
1968-12-01,,,3.07
1968-12-02,39.9,1.943,
1968-12-03,40.15,1.947,
1968-12-04,40.77,1.987,
1968-12-05,40.45,2.001,
1968-12-06,40.35,2.035,
1968-12-09,40.62,2.036,
1968-12-10,40.67,1.976,
1968-12-11,40.75,2.019,
1968-12-12,41.3,1.984,
1968-12-13,40.9,1.987,
1968-12-16,40.98,1.958,
1968-12-17,41.2,1.962,
1968-12-18,41.83,2.004,
1968-12-19,41.67,2.004,
1968-12-20,41.65,1.971,
1968-12-23,41.7,1.966,
1968-12-24,41.7,1.957,
1968-12-27,41.7,1.937,
1968-12-30,42.0,1.967,
1968-12-31,41.95,1.947,
1969-01-01,,,3.07
1969-01-02,41.8,1.958,
1969-01-03,41.9,1.967,
1969-01-06,42.02,1.972,
1969-01-07,42.1,1.977,
1969-01-08,42.45,2.017,
1969-01-09,42.48,2.007,
1969-01-10,42.3,2.042,
1969-01-13,42.0,2.016,
1969-01-14,42.4,2.027,
1969-01-15,42.75,2.038,
1969-01-16,42.7,2.017,
1969-01-17,41.9,1.994,
1969-01-20,42.2,1.994,
1969-01-21,42.4,2.015,
1969-01-22,42.6,2.002,
1969-01-23,42.2,1.982,
1969-01-24,42.0,1.988,
1969-01-27,42.2,1.999,
1969-01-28,42.45,1.987,
1969-01-29,42.45,1.981,
1969-01-30,42.55,2.001,
1969-01-31,42.55,2.001,
1969-02-01,,,3.07
1969-02-03,42.5,1.987,
1969-02-04,42.48,1.991,
1969-02-05,42.7,1.983,
1969-02-06,42.62,1.922,
1969-02-07,42.55,1.885,
1969-02-10,42.55,1.883,
1969-02-11,42.52,1.883,
1969-02-12,42.6,1.873,
1969-02-13,42.55,1.833,
1969-02-14,42.5,1.77,
1969-02-17,42.65,1.855,
1969-02-18,42.62,1.804,
1969-02-19,42.65,1.829,
1969-02-20,42.6,1.843,
1969-02-21,42.62,1.829,
1969-02-24,42.7,1.833,
1969-02-25,42.67,1.803,
1969-02-26,42.7,1.799,
1969-02-27,42.75,1.834,
1969-02-28,42.77,1.825,
1969-03-01,,,3.25
1969-03-03,42.75,1.815,
1969-03-04,42.75,1.797,
1969-03-05,42.9,1.862,
1969-03-06,43.25,1.886,
1969-03-07,43.6,1.925,
1969-03-10,43.75,1.901,
1969-03-11,43.3,1.879,
1969-03-12,43.02,1.833,
1969-03-13,43.15,1.871,
1969-03-14,43.0,1.836,
1969-03-17,43.02,1.831,
1969-03-18,42.85,1.813,
1969-03-19,43.08,1.824,
1969-03-20,43.12,1.813,
1969-03-21,43.17,1.833,
1969-03-24,43.25,1.846,
1969-03-25,43.4,1.832,
1969-03-26,43.35,1.82,
1969-03-27,43.48,1.814,
1969-03-28,43.3,1.83,
1969-03-31,43.1,1.825,
1969-04-01,43.1,1.814,3.35
1969-04-02,43.3,1.799,
1969-04-03,43.35,1.835,
1969-04-08,43.35,1.826,
1969-04-09,43.38,1.802,
1969-04-10,43.4,1.814,
1969-04-11,43.35,1.801,
1969-04-14,43.27,1.8,
1969-04-15,42.9,1.797,
1969-04-16,43.08,1.797,
1969-04-17,43.23,1.807,
1969-04-18,43.2,1.802,
1969-04-21,43.2,1.8,
1969-04-22,43.17,1.77,
1969-04-23,43.4,1.785,
1969-04-24,43.27,1.792,
1969-04-25,43.25,1.782,
1969-04-28,43.55,1.81,
1969-04-29,43.55,1.794,
1969-04-30,43.6,1.776,
1969-05-01,43.6,1.778,3.35
1969-05-02,43.6,1.777,
1969-05-05,43.48,1.769,
1969-05-06,43.4,1.758,
1969-05-07,43.48,1.807,
1969-05-08,43.65,1.846,
1969-05-09,43.6,1.817,
1969-05-12,43.45,1.795,
1969-05-13,43.5,1.749,
1969-05-14,43.5,1.776,
1969-05-15,43.5,1.761,
1969-05-16,43.5,1.781,
1969-05-19,43.48,1.761,
1969-05-20,43.45,1.749,
1969-05-21,43.42,1.759,
1969-05-22,43.45,1.751,
1969-05-23,43.5,1.758,
1969-05-27,43.5,1.783,
1969-05-28,43.4,1.767,
1969-05-29,43.08,1.771,
1969-05-30,43.15,1.772,
1969-06-01,,,3.35
1969-06-02,42.95,1.773,
1969-06-03,42.15,1.773,
1969-06-04,42.08,1.758,
1969-06-05,41.1,1.766,
1969-06-06,40.75,1.749,
1969-06-09,40.7,1.722,
1969-06-10,41.98,1.687,
1969-06-11,41.8,1.684,
1969-06-12,41.55,1.685,
1969-06-13,41.55,1.686,
1969-06-16,41.25,1.679,
1969-06-17,41.5,1.593,
1969-06-18,41.4,1.578,
1969-06-19,41.45,1.603,
1969-06-20,41.45,1.628,
1969-06-23,41.23,1.566,
1969-06-24,41.2,1.584,
1969-06-25,40.9,1.587,
1969-06-26,40.98,1.579,
1969-06-27,41.1,1.559,
1969-06-30,41.23,1.564,
1969-07-01,41.1,1.595,3.35
1969-07-02,41.25,1.57,
1969-07-03,41.51,1.573,
1969-07-04,41.5,1.588,
1969-07-07,41.76,1.594,
1969-07-08,42.1,1.613,
1969-07-09,41.9,1.618,
1969-07-10,41.9,1.663,
1969-07-11,41.9,1.631,
1969-07-14,41.95,1.652,
1969-07-15,42.0,1.683,
1969-07-16,41.9,1.669,
1969-07-17,41.98,1.636,
1969-07-18,41.9,1.653,
1969-07-21,42.0,1.668,
1969-07-22,41.95,1.675,
1969-07-23,41.88,1.66,
1969-07-24,41.9,1.643,
1969-07-25,41.85,1.645,
1969-07-28,41.72,1.653,
1969-07-29,41.49,1.621,
1969-07-30,41.49,1.622,
1969-07-31,41.45,1.629,
1969-08-01,41.39,1.614,3.35
1969-08-04,41.4,1.617,
1969-08-05,41.15,1.599,
1969-08-06,41.1,1.614,
1969-08-07,41.02,1.614,
1969-08-08,41.15,1.624,
1969-08-11,41.45,1.69,
1969-08-12,41.2,1.654,
1969-08-13,41.1,1.675,
1969-08-14,41.38,1.707,
1969-08-15,41.1,1.696,
1969-08-18,41.2,1.68,
1969-08-19,41.12,1.659,
1969-08-20,41.1,1.686,
1969-08-21,41.08,1.674,
1969-08-22,41.05,1.683,
1969-08-25,41.0,1.674,
1969-08-26,40.9,1.663,
1969-08-27,40.9,1.673,
1969-08-28,40.95,1.664,
1969-08-29,40.95,1.674,
1969-09-01,,,3.35
1969-09-02,40.79,1.688,
1969-09-03,40.77,1.705,
1969-09-04,40.89,1.705,
1969-09-05,40.9,1.702,
1969-09-08,40.9,1.728,
1969-09-09,40.9,1.758,
1969-09-10,40.98,1.754,
1969-09-11,40.92,1.769,
1969-09-12,40.95,1.804,
1969-09-15,41.0,1.781,
1969-09-16,41.0,1.768,
1969-09-17,41.0,1.81,
1969-09-18,40.88,1.79,
1969-09-19,40.85,1.799,
1969-09-22,40.88,1.818,
1969-09-23,40.8,1.868,
1969-09-24,40.85,1.891,
1969-09-25,40.85,1.845,
1969-09-26,40.75,1.831,
1969-09-29,40.65,1.839,
1969-09-30,40.65,1.876,
1969-10-01,40.75,1.863,3.35
1969-10-02,40.77,1.894,
1969-10-03,40.99,1.87,
1969-10-06,40.9,1.825,
