Date,Gold,Silver,Oil
1968-02-01,35.2,1.995,3.07
1968-03-01,35.2,2.2,3.07
1968-04-01,38.0,2.259,3.07
1968-05-01,39.1,2.357,3.07
1968-07-01,40.9,2.512,3.07
1968-08-01,38.8,2.225,3.07
1968-10-01,39.6,2.14,3.07
1968-11-01,38.9,1.903,3.07
1969-04-01,43.1,1.814,3.35
1969-05-01,43.6,1.778,3.35
1969-07-01,41.1,1.595,3.35
1969-08-01,41.39,1.614,3.35
1969-10-01,40.75,1.863,3.35
1969-12-01,35.52,1.907,3.35
1970-04-01,35.33,1.876,3.35
1970-05-01,35.85,1.734,3.35
1970-06-01,35.45,1.652,3.35
1970-07-01,35.5,1.624,3.31
1970-09-01,35.85,1.847,3.31
1970-10-01,36.42,1.72,3.31
1970-12-01,37.35,1.607,3.56
1971-02-01,38.1,1.594,3.56
1971-03-01,38.75,1.599,3.56
1971-04-01,38.95,1.713,3.56
1971-06-01,40.85,1.613,3.56
1971-07-01,40.1,1.601,3.56
1971-09-01,40.7,1.484,3.56
1971-10-01,42.17,1.38,3.56
1971-11-01,42.12,1.293,3.56
1971-12-01,43.5,1.324,3.56
1972-02-01,47.49,1.533,3.56
1972-03-01,47.8,1.475,3.56
1972-05-01,50.2,1.601,3.56
1972-06-01,58.8,1.537,3.56
1972-08-01,68.8,1.794,3.56
1972-09-01,66.8,1.897,3.56
1972-11-01,63.8,1.826,3.56
1972-12-01,63.9,1.868,3.56
1973-02-01,66.4,2.032,3.56
1973-03-01,86.0,2.492,3.56
1973-05-01,90.7,2.147,3.56
1973-06-01,117.0,2.607,3.56
1973-08-01,117.0,2.916,4.31
1973-10-01,98.5,2.709,4.31
1973-11-01,97.25,2.835,4.31
1974-02-01,132.0,4.042,10.11
1974-03-01,172.4,5.734,10.11
1974-04-01,173.0,5.319,10.11
1974-05-01,169.9,5.399,10.11
1974-07-01,144.5,4.688,10.11
1974-08-01,157.5,4.95,10.11
1974-10-01,153.5,4.43,11.16
1974-11-01,168.75,4.891,11.16
1975-04-01,177.25,4.277,11.16
1975-05-01,166.25,4.3,11.16
1975-07-01,167.0,4.583,11.16
1975-08-01,166.5,5.0,11.16
1975-09-01,154.25,4.533,11.16
1975-10-01,143.75,4.504,11.16
1975-12-01,138.15,4.123,11.16
1976-03-01,132.45,4.193,12.1
1976-04-01,129.15,4.121,12.17
1976-06-01,126.05,4.677,12.17
1976-07-01,123.25,4.818,12.17
1976-09-01,104.0,4.088,13.9
1976-10-01,116.25,4.36,13.9
1976-11-01,122.0,4.299,13.9
1976-12-01,130.5,4.242,13.9
1977-02-01,132.85,4.469,13.9
1977-03-01,142.1,4.718,13.9
1977-04-01,148.25,4.836,13.9
1977-06-01,143.75,4.585,13.9
1977-07-01,143.05,4.523,13.9
1977-08-01,144.8,4.514,14.85
1977-09-01,145.6,4.47,14.85
1977-11-01,162.55,4.875,14.85
1977-12-01,160.1,4.779,14.85
1978-02-01,176.6,5.0,14.85
1978-03-01,183.8,5.007,14.85
1978-06-01,183.25,5.401,14.85
1978-08-01,207.5,5.716,14.85
1978-09-01,208.1,5.519,14.85
1978-11-01,238.65,6.134,14.85
1978-12-01,194.05,5.949,14.85
1979-02-01,232.4,6.644,15.85
1979-03-01,249.3,7.624,15.85
1979-05-01,247.7,8.02,18.1
1979-06-01,276.7,8.634,19.1
1979-08-01,290.95,9.095,26.5
1979-10-01,399.5,17.09,29.0
1979-11-01,379.7,16.32,31.0
1980-02-01,675.0,35.314,37.0
1980-04-01,501.5,16.99,39.5
1980-05-01,507.75,12.0,39.5
1980-07-01,656.0,17.101,39.5
1980-08-01,622.0,15.61,38.0
1980-09-01,626.25,15.99,36.0
1980-10-01,679.25,21.752,36.0
1980-12-01,635.5,18.902,37.0
1981-04-01,516.75,12.03,38.0
1981-05-01,484.75,11.13,38.0
1981-06-01,481.25,10.673,36.0
1981-07-01,421.25,8.45,36.0
1981-09-01,422.5,9.15,36.0
1981-10-01,435.25,9.32,35.0
1981-12-01,405.0,8.068,35.0
1982-02-01,381.25,8.12,31.56
1982-03-01,358.75,7.741,28.48
1982-04-01,325.5,7.11,33.45
1982-06-01,319.0,6.096,35.07
1982-07-01,311.75,5.712,34.16
1982-09-01,404.25,7.69,35.63
1982-10-01,397.75,8.232,35.68
1982-11-01,426.75,10.18,34.15
1982-12-01,440.0,10.14,31.72
1983-02-01,508.5,14.302,28.95
1983-03-01,414.5,10.68,28.82
1983-06-01,416.25,12.745,31.0
1983-07-01,416.75,11.565,31.66
1983-08-01,413.25,11.805,31.91
1983-09-01,415.8,12.16,31.11
1983-11-01,376.0,8.37,29.84
1983-12-01,398.5,9.58,29.24
1984-02-01,377.25,8.702,30.145
1984-03-01,395.25,9.625,30.761
1984-05-01,376.4,8.928,30.52
1984-06-01,389.4,9.363,29.967
1984-08-01,337.35,7.015,29.25
1984-10-01,344.75,7.453,28.765
1984-11-01,333.85,7.176,28.098
1985-02-01,304.8,6.295,27.271
1985-03-01,288.1,5.605,28.238
1985-04-01,324.65,6.52,28.805
1985-05-01,315.6,6.15,27.623
1985-07-01,315.35,6.095,27.329
1985-08-01,326.75,6.25,27.755
1985-10-01,323.15,6.0,29.538
1985-11-01,324.65,6.068,30.813
1986-04-01,333.7,5.185,12.847
1986-05-01,345.6,5.11,15.444
1986-07-01,345.65,5.095,11.575
1986-08-01,360.5,5.05,15.092
1986-09-01,392.0,5.205,14.913
1986-10-01,425.5,5.571,14.852
1986-12-01,399.6,5.495,16.076
1987-04-01,418.5,6.256,18.643
1987-05-01,452.15,7.935,19.415
1987-06-01,443.4,7.3385,20.034
1987-07-01,449.5,7.3,21.355
1987-09-01,453.1,7.45,19.526
1987-10-01,454.1,7.55,19.848
1987-12-01,486.9,6.99,17.241
1988-02-01,454.65,6.535,16.765
1988-03-01,429.15,6.208,16.217
1988-06-01,457.0,6.7085,16.53
1988-07-01,436.5,6.686,15.498
1988-08-01,436.4,6.8625,15.524
1988-09-01,430.3,6.5475,14.467
1988-11-01,411.0,6.275,13.977
1988-12-01,425.5,6.1625,16.266
1989-02-01,392.0,5.8205,17.826
1989-03-01,386.1,5.8375,19.445
1989-06-01,360.8,5.1585,20.005
1989-08-01,369.95,5.2475,18.522
1989-09-01,358.25,5.05,19.594
1989-11-01,373.6,5.1675,19.82
1989-12-01,414.15,5.71,21.088
1990-02-01,413.25,5.2125,22.108
1990-03-01,406.25,5.14,20.418
1990-05-01,368.95,4.9525,18.237
1990-06-01,363.1,5.074,16.871
1990-08-01,371.1,4.8125,27.174
1990-10-01,400.0,4.786,35.922
1990-11-01,380.1,4.181,32.3
1991-02-01,367.95,3.8785,20.523
1991-03-01,367.45,3.755,19.86
1991-05-01,356.25,3.9725,21.24
1991-07-01,368.65,4.4525,21.42
1991-08-01,364.3,4.054,21.688
1991-10-01,353.0,4.1465,23.228
1991-11-01,357.5,4.102,22.465
1992-04-01,343.75,4.1515,20.243
1992-05-01,337.1,4.014,20.94
1992-06-01,336.8,4.0275,22.375
1992-07-01,343.6,4.0485,21.759
1992-09-01,342.65,3.752,21.902
1992-10-01,347.6,3.7525,21.688
1992-12-01,334.6,3.76,19.407
1993-02-01,329.5,3.66,20.053
1993-03-01,328.4,3.5825,20.347
1993-04-01,337.0,3.8575,20.27
1993-06-01,378.25,4.615,19.07
1993-07-01,377.85,4.5475,17.866
1993-09-01,371.8,4.8325,17.514
1993-10-01,353.9,4.0575,18.145
1993-11-01,367.95,4.285,16.699
1993-12-01,370.1,4.4285,14.51
1994-02-01,382.1,5.12,14.78
1994-03-01,381.1,5.3275,14.66
1994-06-01,387.25,5.5425,19.07
1994-07-01,386.8,5.355,19.65
1994-08-01,384.0,5.33,18.38
1994-09-01,386.0,5.4015,17.46
1994-11-01,383.45,5.2225,18.1
1994-12-01,381.2,4.9175,17.16
1995-02-01,376.25,4.6775,18.53
1995-03-01,376.3,4.4725,18.55
1995-05-01,386.5,5.6975,19.74
1995-06-01,383.2,5.2625,18.42
1995-08-01,381.75,5.03,18.03
1995-09-01,381.8,5.345,18.23
1995-11-01,382.5,5.3325,17.99
1995-12-01,387.15,5.2175,19.04
1996-02-01,406.6,5.595,19.07
1996-03-01,400.3,5.525,21.36
1996-04-01,395.0,5.5175,23.57
1996-05-01,391.0,5.325,21.25
1996-07-01,380.6,5.0475,21.32
1996-08-01,386.65,5.15,21.96
1996-10-01,377.05,4.8475,24.9
1996-11-01,377.2,4.801,23.71
1997-04-01,349.85,5.035,19.72
