Date,Gold,Silver,Oil
1968-01-01,,,3.07
1968-01-02,35.18,2.173,3.07
1968-01-03,35.16,2.225,3.07
1968-01-04,35.14,2.171,3.07
1968-01-05,35.14,2.157,3.07
1968-01-08,35.14,2.163,3.07
1968-01-09,35.14,2.109,3.07
1968-01-10,35.15,2.085,3.07
1968-01-11,35.17,2.094,3.07
1968-01-12,35.18,2.127,3.07
1968-01-15,35.18,2.114,3.07
1968-01-16,35.19,2.069,3.07
1968-01-17,35.2,2.067,3.07
1968-01-18,35.2,2.058,3.07
1968-01-19,35.19,2.078,3.07
1968-01-22,35.19,2.088,3.07
1968-01-23,35.19,2.08,3.07
1968-01-24,35.2,2.064,3.07
1968-01-25,35.2,2.018,3.07
1968-01-26,35.2,2.069,3.07
1968-01-29,35.19,2.039,3.07
1968-01-30,35.19,2.019,3.07
1968-01-31,35.2,1.96,3.07
1968-02-01,35.2,1.995,3.07
1968-02-02,35.2,2.02,3.07
1968-02-05,35.19,2.0,3.07
1968-02-06,35.19,1.948,3.07
1968-02-07,35.2,1.965,3.07
1968-02-08,35.19,1.979,3.07
1968-02-09,35.2,1.938,3.07
1968-02-12,35.19,1.929,3.07
1968-02-13,35.19,1.923,3.07
1968-02-14,35.2,1.919,3.07
1968-02-15,35.2,1.939,3.07
1968-02-16,35.2,1.999,3.07
1968-02-19,35.2,1.969,3.07
1968-02-20,35.2,1.98,3.07
1968-02-21,35.2,2.03,3.07
1968-02-22,35.2,2.029,3.07
1968-02-23,35.2,2.017,3.07
1968-02-26,35.2,2.065,3.07
1968-02-27,35.2,2.105,3.07
1968-02-28,35.2,2.105,3.07
1968-02-29,35.2,2.084,3.07
1968-03-01,35.2,2.2,3.07
1968-03-04,35.2,2.19,3.07
1968-03-05,35.2,2.188,3.07
1968-03-06,35.2,2.134,3.07
1968-03-07,35.2,2.189,3.07
1968-03-08,35.2,2.228,3.07
1968-03-11,35.2,2.197,3.07
1968-03-12,35.2,2.222,3.07
1968-03-13,35.2,2.37,3.07
1968-03-14,35.2,2.49,3.07
1968-03-18,,2.119,3.07
1968-03-19,,2.404,3.07
1968-03-20,,2.237,3.07
1968-03-21,,2.303,3.07
1968-03-22,,2.218,3.07
1968-03-25,,2.241,3.07
1968-03-26,,2.243,3.07
1968-03-27,,2.302,3.07
1968-03-28,,2.249,3.07
1968-03-29,,2.278,3.07
1968-04-01,38.0,2.259,3.07
1968-04-02,37.6,2.202,3.07
1968-04-03,37.7,2.195,3.07
1968-04-04,36.7,2.125,3.07
1968-04-05,37.2,2.104,3.07
1968-04-08,37.0,2.134,3.07
1968-04-09,37.25,2.205,3.07
1968-04-10,37.6,2.203,3.07
1968-04-11,38.05,2.161,3.07
1968-04-16,38.1,2.253,3.07
1968-04-17,38.0,2.303,3.07
1968-04-18,37.6,2.232,3.07
1968-04-19,37.65,2.281,3.07
1968-04-22,38.3,2.36,3.07
1968-04-23,38.05,2.36,3.07
1968-04-24,38.35,2.299,3.07
1968-04-25,38.25,2.308,3.07
1968-04-26,38.5,2.327,3.07
1968-04-29,38.55,2.396,3.07
1968-04-30,39.1,2.397,3.07
1968-05-01,39.1,2.357,3.07
1968-05-02,39.25,2.297,3.07
1968-05-03,39.6,2.315,3.07
1968-05-06,39.7,2.335,3.07
1968-05-07,39.3,2.245,3.07
1968-05-08,39.5,2.321,3.07
1968-05-09,39.7,2.319,3.07
1968-05-10,39.8,2.361,3.07
1968-05-13,39.4,2.359,3.07
1968-05-14,39.6,2.379,3.07
1968-05-15,40.1,2.401,3.07
1968-05-16,40.85,2.459,3.07
1968-05-17,41.6,2.505,3.07
1968-05-20,42.0,2.506,3.07
1968-05-21,42.6,2.554,3.07
1968-05-22,42.2,2.467,3.07
1968-05-23,41.5,2.48,3.07
1968-05-24,41.75,2.503,3.07
1968-05-27,41.5,2.515,3.07
1968-05-28,41.6,2.49,3.07
1968-05-29,41.5,2.416,3.07
1968-05-30,41.75,2.477,3.07
1968-05-31,42.0,2.483,3.07
1968-06-01,,,3.07
1968-06-04,41.2,2.426,3.07
1968-06-05,41.4,2.421,3.07
1968-06-06,41.25,2.454,3.07
1968-06-07,41.2,2.478,3.07
1968-06-10,41.35,2.446,3.07
1968-06-11,41.3,2.506,3.07
1968-06-12,42.1,2.576,3.07
1968-06-13,41.4,2.52,3.07
1968-06-14,40.2,2.465,3.07
1968-06-17,40.9,2.432,3.07
1968-06-18,40.7,2.431,3.07
1968-06-19,41.4,2.534,3.07
1968-06-20,41.05,2.468,3.07
1968-06-21,41.05,2.449,3.07
1968-06-24,41.05,2.483,3.07
1968-06-25,40.85,2.512,3.07
1968-06-26,40.95,2.493,3.07
1968-06-27,40.8,2.492,3.07
1968-06-28,40.95,2.502,3.07
1968-07-01,40.9,2.512,3.07
1968-07-02,40.85,2.463,3.07
1968-07-03,40.9,2.489,3.07
1968-07-04,41.05,2.487,3.07
1968-07-05,41.1,2.472,3.07
1968-07-08,40.95,2.436,3.07
1968-07-09,40.6,2.319,3.07
1968-07-10,40.15,2.418,3.07
1968-07-11,39.4,2.369,3.07
1968-07-12,39.1,2.35,3.07
1968-07-15,39.15,2.392,3.07
1968-07-16,38.9,2.351,3.07
1968-07-17,37.8,2.303,3.07
1968-07-18,38.0,2.242,3.07
1968-07-19,39.1,2.331,3.07
1968-07-22,38.65,2.292,3.07
1968-07-23,38.65,2.292,3.07
1968-07-24,39.2,2.328,3.07
1968-07-25,39.1,2.283,3.07
1968-07-26,38.75,2.284,3.07
1968-07-29,38.9,2.276,3.07
1968-07-30,39.1,2.235,3.07
1968-07-31,38.9,2.285,3.07
1968-08-01,38.8,2.225,3.07
1968-08-02,38.8,2.245,3.07
1968-08-05,38.85,2.195,3.07
1968-08-06,38.85,2.185,3.07
1968-08-07,38.8,2.205,3.07
1968-08-08,38.55,2.165,3.07
1968-08-09,38.45,2.154,3.07
1968-08-12,38.6,2.125,3.07
1968-08-13,38.75,2.064,3.07
1968-08-14,38.95,2.193,3.07
1968-08-15,39.0,2.208,3.07
1968-08-16,39.1,2.203,3.07
1968-08-19,39.15,2.178,3.07
1968-08-20,39.35,2.243,3.07
1968-08-21,40.3,2.332,3.07
1968-08-22,39.65,2.24,3.07
1968-08-23,39.65,2.274,3.07
1968-08-26,39.4,2.239,3.07
1968-08-27,39.55,2.239,3.07
1968-08-28,39.55,2.218,3.07
1968-08-29,39.8,2.242,3.07
1968-08-30,39.85,2.239,3.07
1968-09-01,,,3.07
1968-09-03,39.98,2.24,3.07
1968-09-04,39.9,2.255,3.07
1968-09-05,39.95,2.274,3.07
1968-09-06,40.0,2.264,3.07
1968-09-09,40.0,2.243,3.07
1968-09-10,40.0,2.168,3.07
1968-09-11,40.0,2.248,3.07
1968-09-12,40.05,2.198,3.07
1968-09-13,40.17,2.227,3.07
1968-09-16,40.2,2.207,3.07
1968-09-17,40.55,2.228,3.07
1968-09-18,40.45,2.245,3.07
1968-09-19,40.52,2.23,3.07
1968-09-20,40.5,2.24,3.07
1968-09-23,40.42,2.231,3.07
1968-09-24,40.48,2.22,3.07
1968-09-25,40.42,2.221,3.07
1968-09-26,40.45,2.19,3.07
1968-09-27,40.3,2.2,3.07
1968-09-30,39.7,2.171,3.07
1968-10-01,39.6,2.14,3.07
1968-10-02,38.3,2.091,3.07
1968-10-03,39.0,2.101,3.07
1968-10-04,38.9,2.085,3.07
1968-10-07,39.8,2.101,3.07
1968-10-08,39.75,2.086,3.07
1968-10-09,39.2,2.051,3.07
1968-10-10,38.83,2.011,3.07
1968-10-11,39.2,2.05,3.07
1968-10-14,39.3,2.03,3.07
1968-10-15,39.2,1.991,3.07
1968-10-16,38.95,1.921,3.07
1968-10-17,39.2,1.842,3.07
1968-10-18,39.4,1.872,3.07
1968-10-21,39.1,1.972,3.07
1968-10-22,38.95,1.877,3.07
1968-10-23,39.17,1.923,3.07
1968-10-24,39.2,1.898,3.07
1968-10-25,39.3,1.913,3.07
1968-10-28,39.38,1.913,3.07
1968-10-29,39.6,1.972,3.07
1968-10-30,39.3,1.958,3.07
1968-10-31,39.2,1.933,3.07
1968-11-01,38.9,1.903,3.07
1968-11-04,39.25,1.963,3.07
1968-11-05,39.33,1.981,3.07
1968-11-06,39.5,1.992,3.07
1968-11-07,39.52,1.957,3.07
1968-11-08,39.4,1.967,3.07
1968-11-11,39.5,2.002,3.07
1968-11-12,39.73,2.011,3.07
1968-11-13,39.75,2.061,3.07
1968-11-14,39.75,2.069,3.07
1968-11-15,40.0,2.086,3.07
1968-11-18,40.0,2.103,3.07
1968-11-19,40.05,2.085,3.07
1968-11-20,40.75,,3.07
1968-11-21,40.25,,3.07
1968-11-22,40.2,,3.07
1968-11-25,40.3,2.105,3.07
1968-11-26,40.08,1.988,3.07
1968-11-27,39.75,1.92,3.07
1968-11-28,39.85,1.978,3.07
1968-11-29,39.85,1.968,3.07
1968-12-01,,,3.07
1968-12-02,39.9,1.943,3.07
1968-12-03,40.15,1.947,3.07
1968-12-04,40.77,1.987,3.07
1968-12-05,40.45,2.001,3.07
1968-12-06,40.35,2.035,3.07
1968-12-09,40.62,2.036,3.07
1968-12-10,40.67,1.976,3.07
1968-12-11,40.75,2.019,3.07
1968-12-12,41.3,1.984,3.07
1968-12-13,40.9,1.987,3.07
1968-12-16,40.98,1.958,3.07
1968-12-17,41.2,1.962,3.07
1968-12-18,41.83,2.004,3.07
1968-12-19,41.67,2.004,3.07
1968-12-20,41.65,1.971,3.07
1968-12-23,41.7,1.966,3.07
1968-12-24,41.7,1.957,3.07
1968-12-27,41.7,1.937,3.07
1968-12-30,42.0,1.967,3.07
1968-12-31,41.95,1.947,3.07
1969-01-01,,,3.07
1969-01-02,41.8,1.958,3.07
1969-01-03,41.9,1.967,3.07
1969-01-06,42.02,1.972,3.07
1969-01-07,42.1,1.977,3.07
1969-01-08,42.45,2.017,3.07
1969-01-09,42.48,2.007,3.07
1969-01-10,42.3,2.042,3.07
1969-01-13,42.0,2.016,3.07
1969-01-14,42.4,2.027,3.07
1969-01-15,42.75,2.038,3.07
1969-01-16,42.7,2.017,3.07
1969-01-17,41.9,1.994,3.07
1969-01-20,42.2,1.994,3.07
1969-01-21,42.4,2.015,3.07
1969-01-22,42.6,2.002,3.07
1969-01-23,42.2,1.982,3.07
1969-01-24,42.0,1.988,3.07
1969-01-27,42.2,1.999,3.07
1969-01-28,42.45,1.987,3.07
1969-01-29,42.45,1.981,3.07
1969-01-30,42.55,2.001,3.07
1969-01-31,42.55,2.001,3.07
1969-02-01,,,3.07
1969-02-03,42.5,1.987,3.07
1969-02-04,42.48,1.991,3.07
1969-02-05,42.7,1.983,3.07
1969-02-06,42.62,1.922,3.07
1969-02-07,42.55,1.885,3.07
1969-02-10,42.55,1.883,3.07
1969-02-11,42.52,1.883,3.07
1969-02-12,42.6,1.873,3.07
1969-02-13,42.55,1.833,3.07
1969-02-14,42.5,1.77,3.07
1969-02-17,42.65,1.855,3.07
1969-02-18,42.62,1.804,3.07
1969-02-19,42.65,1.829,3.07
1969-02-20,42.6,1.843,3.07
1969-02-21,42.62,1.829,3.07
1969-02-24,42.7,1.833,3.07
1969-02-25,42.67,1.803,3.07
1969-02-26,42.7,1.799,3.07
1969-02-27,42.75,1.834,3.07
1969-02-28,42.77,1.825,3.07
1969-03-01,,,3.25
1969-03-03,42.75,1.815,3.25
1969-03-04,42.75,1.797,3.25
1969-03-05,42.9,1.862,3.25
1969-03-06,43.25,1.886,3.25
1969-03-07,43.6,1.925,3.25
1969-03-10,43.75,1.901,3.25
1969-03-11,43.3,1.879,3.25
1969-03-12,43.02,1.833,3.25
1969-03-13,43.15,1.871,3.25
1969-03-14,43.0,1.836,3.25
1969-03-17,43.02,1.831,3.25
1969-03-18,42.85,1.813,3.25
1969-03-19,43.08,1.824,3.25
1969-03-20,43.12,1.813,3.25
1969-03-21,43.17,1.833,3.25
1969-03-24,43.25,1.846,3.25
1969-03-25,43.4,1.832,3.25
1969-03-26,43.35,1.82,3.25
1969-03-27,43.48,1.814,3.25
1969-03-28,43.3,1.83,3.25
1969-03-31,43.1,1.825,3.25
1969-04-01,43.1,1.814,3.35
1969-04-02,43.3,1.799,3.35
1969-04-03,43.35,1.835,3.35
1969-04-08,43.35,1.826,3.35
1969-04-09,43.38,1.802,3.35
1969-04-10,43.4,1.814,3.35
1969-04-11,43.35,1.801,3.35
1969-04-14,43.27,1.8,3.35
1969-04-15,42.9,1.797,3.35
1969-04-16,43.08,1.797,3.35
1969-04-17,43.23,1.807,3.35
1969-04-18,43.2,1.802,3.35
1969-04-21,43.2,1.8,3.35
1969-04-22,43.17,1.77,3.35
1969-04-23,43.4,1.785,3.35
1969-04-24,43.27,1.792,3.35
1969-04-25,43.25,1.782,3.35
1969-04-28,43.55,1.81,3.35
1969-04-29,43.55,1.794,3.35
1969-04-30,43.6,1.776,3.35
1969-05-01,43.6,1.778,3.35
1969-05-02,43.6,1.777,3.35
1969-05-05,43.48,1.769,3.35
1969-05-06,43.4,1.758,3.35
1969-05-07,43.48,1.807,3.35
1969-05-08,43.65,1.846,3.35
1969-05-09,43.6,1.817,3.35
1969-05-12,43.45,1.795,3.35
1969-05-13,43.5,1.749,3.35
1969-05-14,43.5,1.776,3.35
1969-05-15,43.5,1.761,3.35
1969-05-16,43.5,1.781,3.35
1969-05-19,43.48,1.761,3.35
1969-05-20,43.45,1.749,3.35
1969-05-21,43.42,1.759,3.35
1969-05-22,43.45,1.751,3.35
1969-05-23,43.5,1.758,3.35
1969-05-27,43.5,1.783,3.35
1969-05-28,43.4,1.767,3.35
1969-05-29,43.08,1.771,3.35
1969-05-30,43.15,1.772,3.35
1969-06-01,,,3.35
1969-06-02,42.95,1.773,3.35
1969-06-03,42.15,1.773,3.35
1969-06-04,42.08,1.758,3.35
1969-06-05,41.1,1.766,3.35
1969-06-06,40.75,1.749,3.35
1969-06-09,40.7,1.722,3.35
1969-06-10,41.98,1.687,3.35
1969-06-11,41.8,1.684,3.35
1969-06-12,41.55,1.685,3.35
1969-06-13,41.55,1.686,3.35
1969-06-16,41.25,1.679,3.35
1969-06-17,41.5,1.593,3.35
1969-06-18,41.4,1.578,3.35
1969-06-19,41.45,1.603,3.35
1969-06-20,41.45,1.628,3.35
1969-06-23,41.23,1.566,3.35
1969-06-24,41.2,1.584,3.35
1969-06-25,40.9,1.587,3.35
1969-06-26,40.98,1.579,3.35
1969-06-27,41.1,1.559,3.35
1969-06-30,41.23,1.564,3.35
1969-07-01,41.1,1.595,3.35
1969-07-02,41.25,1.57,3.35
1969-07-03,41.51,1.573,3.35
1969-07-04,41.5,1.588,3.35
1969-07-07,41.76,1.594,3.35
1969-07-08,42.1,1.613,3.35
1969-07-09,41.9,1.618,3.35
1969-07-10,41.9,1.663,3.35
1969-07-11,41.9,1.631,3.35
1969-07-14,41.95,1.652,3.35
1969-07-15,42.0,1.683,3.35
1969-07-16,41.9,1.669,3.35
1969-07-17,41.98,1.636,3.35
1969-07-18,41.9,1.653,3.35
1969-07-21,42.0,1.668,3.35
1969-07-22,41.95,1.675,3.35
1969-07-23,41.88,1.66,3.35
1969-07-24,41.9,1.643,3.35
1969-07-25,41.85,1.645,3.35
1969-07-28,41.72,1.653,3.35
1969-07-29,41.49,1.621,3.35
1969-07-30,41.49,1.622,3.35
1969-07-31,41.45,1.629,3.35
1969-08-01,41.39,1.614,3.35
1969-08-04,41.4,1.617,3.35
1969-08-05,41.15,1.599,3.35
1969-08-06,41.1,1.614,3.35
1969-08-07,41.02,1.614,3.35
1969-08-08,41.15,1.624,3.35
1969-08-11,41.45,1.69,3.35
1969-08-12,41.2,1.654,3.35
1969-08-13,41.1,1.675,3.35
1969-08-14,41.38,1.707,3.35
1969-08-15,41.1,1.696,3.35
1969-08-18,41.2,1.68,3.35
1969-08-19,41.12,1.659,3.35
1969-08-20,41.1,1.686,3.35
1969-08-21,41.08,1.674,3.35
1969-08-22,41.05,1.683,3.35
1969-08-25,41.0,1.674,3.35
1969-08-26,40.9,1.663,3.35
1969-08-27,40.9,1.673,3.35
1969-08-28,40.95,1.664,3.35
1969-08-29,40.95,1.674,3.35
1969-09-01,,,3.35
1969-09-02,40.79,1.688,3.35
1969-09-03,40.77,1.705,3.35
1969-09-04,40.89,1.705,3.35
1969-09-05,40.9,1.702,3.35
1969-09-08,40.9,1.728,3.35
1969-09-09,40.9,1.758,3.35
1969-09-10,40.98,1.754,3.35
1969-09-11,40.92,1.769,3.35
1969-09-12,40.95,1.804,3.35
1969-09-15,41.0,1.781,3.35
1969-09-16,41.0,1.768,3.35
1969-09-17,41.0,1.81,3.35
1969-09-18,40.88,1.79,3.35
1969-09-19,40.85,1.799,3.35
1969-09-22,40.88,1.818,3.35
1969-09-23,40.8,1.868,3.35
1969-09-24,40.85,1.891,3.35
