Date,Gold,Silver,Oil
1968-01-31,35.2,1.96,3.07
1968-02-29,35.2,2.084,3.07
1968-03-31,35.2,2.278,3.07
1968-04-30,39.1,2.397,3.07
1968-05-31,42.0,2.483,3.07
1968-06-30,40.95,2.502,3.07
1968-07-31,38.9,2.285,3.07
1968-08-31,39.85,2.239,3.07
1968-09-30,39.7,2.171,3.07
1968-10-31,39.2,1.933,3.07
1968-11-30,39.85,1.968,3.07
1968-12-31,41.95,1.947,3.07
1969-01-31,42.55,2.001,3.07
1969-02-28,42.77,1.825,3.07
1969-03-31,43.1,1.825,3.25
1969-04-30,43.6,1.776,3.35
1969-05-31,43.15,1.772,3.35
1969-06-30,41.23,1.564,3.35
1969-07-31,41.45,1.629,3.35
1969-08-31,40.95,1.674,3.35
1969-09-30,40.65,1.876,3.35
1969-10-31,39.85,1.947,3.35
1969-11-30,35.55,1.887,3.35
1969-12-31,35.21,1.791,3.35
1970-01-31,34.98,1.912,3.35
1970-02-28,35.0,1.899,3.35
1970-03-31,35.3,1.878,3.35
1970-04-30,35.85,1.724,3.35
1970-05-31,35.5,1.631,3.35
1970-06-30,35.51,1.607,3.35
1970-07-31,35.29,1.768,3.31
1970-08-31,35.77,1.837,3.31
1970-09-30,36.24,1.701,3.31
1970-10-31,37.4,1.783,3.31
1970-11-30,37.6,1.653,3.31
1970-12-31,37.38,1.633,3.56
1971-01-31,38.0,1.593,3.56
1971-02-28,38.79,1.587,3.56
1971-03-31,38.8,1.686,3.56
1971-04-30,39.6,1.689,3.56
1971-05-31,40.8,1.601,3.56
1971-06-30,40.2,1.575,3.56
1971-07-31,42.48,1.592,3.56
1971-08-31,41.0,1.502,3.56
1971-09-30,42.48,1.376,3.56
1971-10-31,42.4,1.307,3.56
1971-11-30,43.55,1.332,3.56
1971-12-31,43.62,1.371,3.56
1972-01-31,46.95,1.499,3.56
1972-02-29,48.4,1.47,3.56
1972-03-31,48.38,1.562,3.56
1972-04-30,49.5,1.571,3.56
1972-05-31,59.3,1.55,3.56
1972-06-30,64.1,1.562,3.56
1972-07-31,68.9,1.828,3.56
1972-08-31,66.8,1.908,3.56
1972-09-30,64.1,1.739,3.56
1972-10-31,64.42,1.798,3.56
1972-11-30,63.6,1.852,3.56
1972-12-31,64.7,2.031,3.56
1973-01-31,66.0,2.011,3.56
1973-02-28,85.3,2.43,3.56
1973-03-31,90.25,2.197,3.56
1973-04-30,90.7,2.147,3.56
1973-05-31,114.5,2.551,3.56
1973-06-30,123.5,2.666,3.56
1973-07-31,115.2,2.76,3.56
1973-08-31,104.0,2.596,4.31
1973-09-30,100.25,2.697,4.31
1973-10-31,97.25,2.835,4.31
1973-11-30,100.25,2.924,4.31
1973-12-31,112.25,3.256,4.31
1974-01-31,133.25,3.867,10.11
1974-02-28,169.5,5.685,10.11
1974-03-31,173.0,5.348,10.11
1974-04-30,168.5,5.617,10.11
1974-05-31,156.5,4.92,10.11
1974-06-30,146.75,4.613,10.11
1974-07-31,154.0,4.789,10.11
1974-08-31,155.25,4.116,10.11
1974-09-30,147.5,4.245,10.11
1974-10-31,166.4,4.859,11.16
1974-11-30,182.0,4.455,11.16
1974-12-31,187.5,4.473,11.16
1975-01-31,176.25,4.15,11.16
1975-02-28,181.75,4.424,11.16
1975-03-31,177.75,4.278,11.16
1975-04-30,167.4,4.426,11.16
1975-05-31,167.75,4.53,11.16
1975-06-30,166.0,4.571,11.16
1975-07-31,166.4,5.003,11.16
1975-08-31,161.5,4.634,11.16
1975-09-30,138.25,4.441,11.16
1975-10-31,143.4,4.186,11.16
1975-11-30,138.25,4.226,11.16
1975-12-31,140.25,4.179,11.16
1976-01-31,128.0,4.01,11.16
1976-02-29,132.3,4.162,12.03
1976-03-31,129.5,4.106,12.1
1976-04-30,128.15,4.43,12.17
1976-05-31,125.25,4.62,12.17
1976-06-30,123.8,4.833,12.17
1976-07-31,112.4,4.543,12.17
1976-08-31,103.05,4.105,12.17
1976-09-30,116.1,4.39,13.9
1976-10-31,122.3,4.271,13.9
1976-11-30,130.1,4.28,13.9
1976-12-31,134.55,4.355,13.9
1977-01-31,132.1,4.446,13.9
1977-02-28,142.25,4.733,13.9
1977-03-31,149.8,4.829,13.9
1977-04-30,146.5,4.713,13.9
1977-05-31,143.2,4.561,13.9
1977-06-30,142.95,4.507,13.9
1977-07-31,144.5,4.52,13.9
1977-08-31,146.0,4.448,14.85
1977-09-30,153.9,4.645,14.85
1977-10-31,160.8,4.852,14.85
1977-11-30,159.8,4.742,14.85
1977-12-31,165.6,4.756,14.85
1978-01-31,175.2,4.95,14.85
1978-02-28,182.0,4.969,14.85
1978-03-31,180.75,5.345,14.85
1978-04-30,170.0,4.998,14.85
